datetime,open,high,low,close,volume
2021-09-09,1e-05,9e-05,6e-06,5.67e-05,2011405203216.0005
2021-09-10,5.67e-05,6e-05,6.76e-06,7.02e-06,3803666278890.0015
2021-09-11,7.02e-06,7.35e-06,6.73e-06,6.77e-06,1663194647440.0005
2021-09-12,6.78e-06,7.19e-06,6.64e-06,6.91e-06,859389740690.0024
2021-09-13,6.91e-06,7.1e-06,6.17e-06,6.48e-06,851872051559.002
2021-09-14,6.48e-06,6.9e-06,6.44e-06,6.67e-06,799842914475.005
2021-09-15,6.67e-06,6.91e-06,6.6e-06,6.78e-06,1354279397992.0017
2021-09-16,6.78e-06,1.34e-05,6.52e-06,8.81e-06,33971466502853.0
2021-09-17,8.81e-06,9.7e-06,8.1e-06,8.43e-06,25611870030486.0
2021-09-18,8.44e-06,8.62e-06,7.61e-06,7.86e-06,8832750100865.002
2021-09-19,7.86e-06,8.48e-06,7.36e-06,8.17e-06,8445364127353.001
2021-09-20,8.19e-06,8.24e-06,6.79e-06,7.02e-06,7359714007413.001
2021-09-21,7.02e-06,7.34e-06,6.59e-06,6.88e-06,5539387125062.001
2021-09-22,6.88e-06,7.33e-06,6.84e-06,7.26e-06,4517368674647.001
2021-09-23,7.26e-06,7.75e-06,7.09e-06,7.65e-06,4500476217476.001
2021-09-24,7.64e-06,7.88e-06,6.75e-06,7.39e-06,6678475561916.001
2021-09-25,7.38e-06,7.6e-06,7.11e-06,7.34e-06,3528623592227.0005
2021-09-26,7.34e-06,7.34e-06,6.82e-06,7.11e-06,2947651492617.001
2021-09-27,7.11e-06,7.27e-06,6.9e-06,6.98e-06,2944845921478.0005
2021-09-28,6.99e-06,7.18e-06,6.82e-06,6.98e-06,3024049155494.001
2021-09-29,6.97e-06,7.17e-06,6.91e-06,7.02e-06,2504677982674.0005
2021-09-30,7.02e-06,7.44e-06,7e-06,7.21e-06,3342927954876.001
2021-10-01,7.22e-06,7.82e-06,7.16e-06,7.72e-06,4113210977188.001
2021-10-02,7.72e-06,8.26e-06,7.43e-06,7.88e-06,5020252027976.001
2021-10-03,7.87e-06,9.04e-06,7.65e-06,8.56e-06,8828728646898.002
2021-10-04,8.56e-06,1.54e-05,8.2e-06,1.349e-05,48519921914756.0
2021-10-05,1.348e-05,2.5e-05,1.208e-05,1.734e-05,70956971611954.0
2021-10-06,1.734e-05,2.945e-05,1.662e-05,2.794e-05,76256561739497.0
2021-10-07,2.794e-05,3.7e-05,2.029e-05,2.292e-05,97115417041931.0
2021-10-08,2.292e-05,2.95e-05,2.057e-05,2.727e-05,53103264344107.0
2021-10-09,2.729e-05,3e-05,2.415e-05,2.671e-05,27664393028438.0
2021-10-10,2.671e-05,2.782e-05,2.51e-05,2.616e-05,16808821854373.0
2021-10-11,2.616e-05,3.212e-05,2.584e-05,3.066e-05,30099294306360.004
2021-10-12,3.066e-05,3.156e-05,2.73e-05,2.906e-05,21754529450821.004
2021-10-13,2.906e-05,3.07e-05,2.77e-05,2.91e-05,13679412443629.002
2021-10-14,2.91e-05,2.984e-05,2.59e-05,2.742e-05,13720215083487.002
2021-10-15,2.742e-05,2.766e-05,2.333e-05,2.526e-05,26002337404652.0
2021-10-16,2.526e-05,2.659e-05,2.47e-05,2.572e-05,10719570393974.002
2021-10-17,2.572e-05,2.9e-05,2.376e-05,2.775e-05,11829673573895.0
2021-10-18,2.775e-05,2.958e-05,2.639e-05,2.867e-05,16249399760002.002
2021-10-19,2.867e-05,2.918e-05,2.751e-05,2.803e-05,7571952235394.001
